userId,date,electricityUsage
1,1/1/2022,351.7
1,2/1/2022,392.7
1,3/1/2022,239.5
1,4/1/2022,276.5
1,5/1/2022,243.5
1,6/1/2022,372.8
1,7/1/2022,354.4
1,8/1/2022,343.7
1,9/1/2022,237.5
1,10/1/2022,293
1,11/1/2022,302.5
1,12/1/2022,314.6
1,1/1/2023,324.2
1,2/1/2023,391.5
1,3/1/2023,261.6
1,4/1/2023,251.3
1,5/1/2023,272.5
1,6/1/2023,379.6
1,7/1/2023,353.4
1,8/1/2023,381.4
1,9/1/2023,248.8
1,10/1/2023,241.1
1,11/1/2023,315.7
1,12/1/2023,350.1
1,1/1/2024,326
1,2/1/2024,344.5
1,3/1/2024,252.3
1,4/1/2024,224.6
1,5/1/2024,252.6
1,6/1/2024,350.9
1,7/1/2024,328.2
1,8/1/2024,390
1,9/1/2024,276.6
1,10/1/2024,246.3
1,11/1/2024,293.9
1,12/1/2024,319.1
1,1/1/2025,406.3
2,1/1/2022,379.7
2,2/1/2022,376.3
2,3/1/2022,269.4
2,4/1/2022,243.8
2,5/1/2022,280
2,6/1/2022,364.9
2,7/1/2022,382.9
2,8/1/2022,363.5
2,9/1/2022,280.9
2,10/1/2022,232.5
2,11/1/2022,247.9
2,12/1/2022,328.4
2,1/1/2023,368.6
2,2/1/2023,354.4
2,3/1/2023,281.1
2,4/1/2023,310.1
2,5/1/2023,285.3
2,6/1/2023,382.5
2,7/1/2023,369.1
2,8/1/2023,360.3
2,9/1/2023,225
2,10/1/2023,248.9
2,11/1/2023,264.6
2,12/1/2023,415.2
2,1/1/2024,405.1
2,2/1/2024,368.8
2,3/1/2024,283.6
2,4/1/2024,291.9
2,5/1/2024,309.7
2,6/1/2024,346.6
2,7/1/2024,339.8
2,8/1/2024,384.8
2,9/1/2024,268.2
2,10/1/2024,275.5
2,11/1/2024,277.1
2,12/1/2024,371.2
2,1/1/2025,382.2
3,1/1/2022,352
3,2/1/2022,364.7
3,3/1/2022,271.5
3,4/1/2022,274.2
3,5/1/2022,248.9
3,6/1/2022,366.5
3,7/1/2022,344.4
3,8/1/2022,374.7
3,9/1/2022,242.1
3,10/1/2022,261.2
3,11/1/2022,231.5
3,12/1/2022,418.7
3,1/1/2023,350.9
3,2/1/2023,383.4
3,3/1/2023,268.2
3,4/1/2023,272.2
3,5/1/2023,259.4
3,6/1/2023,336.2
3,7/1/2023,384.6
3,8/1/2023,365.2
3,9/1/2023,253.9
3,10/1/2023,289.9
3,11/1/2023,272.8
3,12/1/2023,357
3,1/1/2024,326.8
3,2/1/2024,359.2
3,3/1/2024,294.5
3,4/1/2024,240.9
3,5/1/2024,262.7
3,6/1/2024,396
3,7/1/2024,369.9
3,8/1/2024,381
3,9/1/2024,251.7
3,10/1/2024,322.2
3,11/1/2024,272.2
3,12/1/2024,360.3
3,1/1/2025,371.3
4,1/1/2022,333.6
4,2/1/2022,381.4
4,3/1/2022,265.5
4,4/1/2022,275.5
4,5/1/2022,270.5
4,6/1/2022,361.1
4,7/1/2022,324.1
4,8/1/2022,343.5
4,9/1/2022,288.8
4,10/1/2022,309.4
4,11/1/2022,264.2
4,12/1/2022,354.6
4,1/1/2023,364
4,2/1/2023,366.9
4,3/1/2023,244.5
4,4/1/2023,251.6
4,5/1/2023,283
4,6/1/2023,356.4
4,7/1/2023,338.4
4,8/1/2023,351.9
4,9/1/2023,244.4
4,10/1/2023,234.6
4,11/1/2023,312.6
4,12/1/2023,392.9
4,1/1/2024,359.5
4,2/1/2024,383
4,3/1/2024,245.5
4,4/1/2024,216.4
4,5/1/2024,274.2
4,6/1/2024,338.2
4,7/1/2024,381.2
4,8/1/2024,354.3
4,9/1/2024,322.1
4,10/1/2024,245.7
4,11/1/2024,292.1
4,12/1/2024,348.5
4,1/1/2025,303.5
5,1/1/2022,339.1
5,2/1/2022,369.4
5,3/1/2022,258.5
5,4/1/2022,289
5,5/1/2022,285.1
5,6/1/2022,395.9
5,7/1/2022,369.3
5,8/1/2022,387.9
5,9/1/2022,233.9
5,10/1/2022,280.8
5,11/1/2022,252.8
5,12/1/2022,383.3
5,1/1/2023,376.1
5,2/1/2023,343.6
5,3/1/2023,294.3
5,4/1/2023,274.4
5,5/1/2023,305.2
5,6/1/2023,363.4
5,7/1/2023,321
5,8/1/2023,328.8
5,9/1/2023,254.5
5,10/1/2023,296.5
5,11/1/2023,228.4
5,12/1/2023,344.5
5,1/1/2024,391.7
5,2/1/2024,338.8
5,3/1/2024,288.7
5,4/1/2024,238
5,5/1/2024,227.5
5,6/1/2024,338.1
5,7/1/2024,352.2
5,8/1/2024,358.9
5,9/1/2024,224.2
5,10/1/2024,246.5
5,11/1/2024,302.4
5,12/1/2024,376
5,1/1/2025,401.5
6,1/1/2022,358.3
6,2/1/2022,355.6
6,3/1/2022,258.4
6,4/1/2022,296.6
6,5/1/2022,251.2
6,6/1/2022,346
6,7/1/2022,369.1
6,8/1/2022,333
6,9/1/2022,275
6,10/1/2022,294.6
6,11/1/2022,290.1
6,12/1/2022,344
6,1/1/2023,352.6
6,2/1/2023,340
6,3/1/2023,265.1
6,4/1/2023,266.2
6,5/1/2023,268.4
6,6/1/2023,362.4
6,7/1/2023,381.9
6,8/1/2023,314.4
6,9/1/2023,244.7
6,10/1/2023,318
6,11/1/2023,307.5
6,12/1/2023,323
6,1/1/2024,351.6
6,2/1/2024,366.5
6,3/1/2024,253.2
6,4/1/2024,320.8
6,5/1/2024,228
6,6/1/2024,337.8
6,7/1/2024,331.1
6,8/1/2024,293.9
6,9/1/2024,310.7
6,10/1/2024,342.9
6,11/1/2024,303.2
6,12/1/2024,354.3
6,1/1/2025,384.8
7,1/1/2022,378.6
7,2/1/2022,348.1
7,3/1/2022,238.2
7,4/1/2022,294.7
7,5/1/2022,280
7,6/1/2022,343
7,7/1/2022,311.5
7,8/1/2022,357.7
